OD_Pair,Total_Passengers,Avg_Travel_Time_min
1169 -> 1087,95,8.0
621 -> 675,95,4.0
148 -> 199,95,8.42
1087 -> 1179,95,35.26
676 -> 621,95,4.0
1040 -> 629,95,30.68
1139 -> 792,95,24.39
854 -> 632,95,28.47
316 -> 368,95,16.0
1023 -> 1065,95,12.42
485 -> 485,95,0.0
1438 -> 1323,95,21.71
523 -> 411,95,8.0
249 -> 148,95,8.0
632 -> 576,95,4.0
222 -> 277,95,20.0
675 -> 676,95,4.0
277 -> 222,95,20.0
199 -> 249,95,8.0
693 -> 524,95,24.0
689 -> 634,95,4.0
198 -> 197,95,4.0
1258 -> 1443,95,11.45
1113 -> 930,95,16.0
897 -> 897,95,0.0
587 -> 249,95,24.0
467 -> 411,95,4.0
930 -> 1113,95,16.0
311 -> 793,95,28.0
700 -> 627,90,36.28
45 -> 580,90,33.0
576 -> 633,90,7.44
714 -> 923,90,16.0
1081 -> 1118,90,24.0
346 -> 183,90,12.0
1099 -> 1055,90,4.0
1437 -> 1440,90,12.0
141 -> 196,90,23.08
853 -> 580,90,24.0
247 -> 302,90,4.44
620 -> 578,90,26.06
457 -> 1172,90,25.33
578 -> 607,90,31.22
302 -> 198,90,11.67
999 -> 999,90,0.0
275 -> 173,90,16.0
1410 -> 1443,90,18.83
1411 -> 1440,90,8.0
988 -> 1198,90,28.0
1440 -> 1411,90,8.0
292 -> 348,90,4.0
908 -> 908,90,0.0
893 -> 893,90,0.0
350 -> 576,90,8.22
1324 -> 576,90,19.5
789 -> 631,90,12.28
991 -> 893,90,12.0
348 -> 292,90,4.0
1248 -> 1248,90,0.0
44 -> 80,90,16.0
188 -> 188,85,0.0
1079 -> 979,85,36.0
1180 -> 691,85,12.88
525 -> 470,85,8.47
272 -> 186,85,36.02
895 -> 1005,85,31.06
324 -> 923,85,44.0
470 -> 525,85,8.0
923 -> 324,85,44.0
944 -> 944,85,0.0
717 -> 719,85,8.0
401 -> 89,85,23.12
719 -> 717,85,8.0
235 -> 235,85,0.0
695 -> 457,85,37.06
239 -> 522,85,42.0
302 -> 149,85,15.06
522 -> 239,85,15.65
893 -> 1083,85,16.0
540 -> 650,85,8.0
1083 -> 893,85,16.0
636 -> 468,85,12.0
927 -> 943,85,49.52
251 -> 251,85,0.0
650 -> 540,85,8.0
509 -> 509,85,0.0
1440 -> 1322,85,15.06
1322 -> 1440,85,15.26
186 -> 173,85,36.76
173 -> 272,85,8.0
105 -> 105,85,0.0
71 -> 418,85,20.88
236 -> 236,85,0.0
1443 -> 1410,85,20.26
148 -> 198,85,4.24
975 -> 627,85,37.08
576 -> 854,85,21.38
627 -> 975,85,38.82
1113 -> 991,85,46.0
689 -> 785,85,18.76
877 -> 1113,85,20.0
418 -> 71,85,21.06
575 -> 237,80,11.88
1205 -> 1336,80,16.0
237 -> 187,80,8.06
457 -> 685,80,21.94
465 -> 1012,80,47.0
418 -> 292,80,24.62
642 -> 1179,80,43.78
1005 -> 1095,80,12.0
920 -> 624,80,38.44
933 -> 576,80,13.5
1082 -> 576,80,11.06
1088 -> 893,80,20.0
292 -> 418,80,22.81
236 -> 187,80,12.0
352 -> 689,80,24.0
1095 -> 1178,80,8.0
99 -> 250,80,20.0
235 -> 236,80,4.0
239 -> 635,80,47.0
906 -> 411,80,42.97
573 -> 572,80,4.0
734 -> 517,80,16.0
303 -> 99,80,16.0
15 -> 2,80,20.0
99 -> 303,80,16.0
893 -> 1088,80,20.0
2 -> 15,80,20.0
940 -> 988,80,8.0
978 -> 1070,80,8.0
260 -> 256,80,11.72
197 -> 362,80,20.06
256 -> 260,80,11.66
304 -> 572,80,25.69
1119 -> 1162,80,12.0
399 -> 576,80,10.12
1162 -> 1119,80,12.0
362 -> 197,80,19.91
251 -> 249,80,8.0
459 -> 235,75,20.0
474 -> 626,75,29.03
235 -> 459,75,20.0
527 -> 691,75,12.0
642 -> 408,75,35.37
927 -> 928,75,4.0
6 -> 67,75,37.63
1117 -> 1029,75,8.27
349 -> 404,75,24.0
404 -> 349,75,24.0
1228 -> 1192,75,4.0
70 -> 685,75,28.73
682 -> 630,75,12.0
1165 -> 1125,75,4.27
1125 -> 1165,75,4.8
928 -> 927,75,4.0
1192 -> 1228,75,4.0
350 -> 522,75,13.8
522 -> 577,75,4.0
350 -> 468,75,8.0
841 -> 790,75,8.0
303 -> 67,75,20.1
577 -> 630,75,11.13
1228 -> 885,75,23.0
630 -> 682,75,12.0
630 -> 76,75,36.77
237 -> 576,75,3.73
1492 -> 1443,75,20.53
847 -> 139,75,33.87
235 -> 473,75,31.0
401 -> 518,70,17.0
736 -> 1445,70,41.0
143 -> 149,70,24.18
124 -> 798,70,41.93
1491 -> 1526,70,8.0
886 -> 407,70,30.45
359 -> 689,70,33.43
588 -> 16,70,60.0
67 -> 16,70,37.93
834 -> 1089,70,41.71
746 -> 581,70,12.0
1159 -> 1159,70,0.0
1076 -> 984,70,8.0
363 -> 249,70,20.0
16 -> 46,70,8.0
686 -> 686,70,0.0
992 -> 992,70,0.0
748 -> 1010,70,27.93
787 -> 979,70,54.0
979 -> 1347,70,62.04
1170 -> 842,70,16.93
1482 -> 1315,70,24.0
1010 -> 748,70,28.0
620 -> 921,70,36.0
1138 -> 1179,70,4.0
921 -> 620,70,36.71
46 -> 77,70,8.0
899 -> 576,70,18.21
1288 -> 1227,70,16.29
128 -> 128,70,0.0
576 -> 237,70,4.43
988 -> 940,70,8.0
1025 -> 1069,70,4.0
1069 -> 927,70,12.57
927 -> 1025,70,8.0
1030 -> 1113,70,20.0
978 -> 886,70,36.0
795 -> 948,70,12.0
1438 -> 792,65,40.12
1348 -> 1409,65,8.0
403 -> 687,65,14.77
892 -> 299,65,20.96
746 -> 689,65,16.0
1025 -> 1326,65,32.0
998 -> 689,65,24.0
1118 -> 453,65,37.58
928 -> 1073,65,20.0
1133 -> 1089,65,8.0
536 -> 581,65,40.0
580 -> 630,65,9.38
992 -> 740,65,19.85
1318 -> 1379,65,16.0
349 -> 349,65,0.0
299 -> 992,65,26.73
291 -> 345,65,8.0
1035 -> 1201,65,16.0
1443 -> 126,65,57.73
1180 -> 881,65,30.5
881 -> 1180,65,31.77
630 -> 580,65,10.23
887 -> 784,65,8.0
126 -> 1443,65,56.74
661 -> 661,65,0.0
634 -> 634,65,0.0
629 -> 238,65,15.23
150 -> 150,65,0.0
676 -> 676,65,0.0
885 -> 1228,65,22.77
1285 -> 1007,65,63.77
1113 -> 1153,65,4.0
1007 -> 1285,65,62.81
682 -> 629,65,8.0
1153 -> 1113,65,4.0
696 -> 466,60,44.0
153 -> 249,60,11.67
987 -> 579,60,26.83
252 -> 143,60,28.83
1471 -> 1118,60,35.25
1025 -> 1025,60,0.0
1316 -> 322,60,58.0
105 -> 69,60,8.0
192 -> 196,60,16.0
527 -> 137,60,20.33
934 -> 981,60,12.0
786 -> 733,60,4.0
351 -> 737,60,22.17
1198 -> 428,60,50.42
1113 -> 1113,60,0.0
1380 -> 1379,60,4.0
675 -> 1416,60,38.58
249 -> 298,60,12.75
1261 -> 1443,60,19.5
937 -> 1033,60,8.0
126 -> 126,60,0.0
409 -> 408,60,4.0
64 -> 64,60,0.0
197 -> 195,60,8.0
1180 -> 322,60,31.67
522 -> 466,60,4.0
67 -> 77,60,34.0
195 -> 197,60,8.0
298 -> 249,60,12.75
852 -> 903,60,4.0
842 -> 1170,60,16.92
1347 -> 979,60,65.04
576 -> 522,60,4.0
740 -> 1040,60,27.0
819 -> 626,55,31.91
347 -> 89,55,13.64
1439 -> 1439,55,0.0
593 -> 595,55,8.0
845 -> 845,55,0.0
1128 -> 737,55,22.5
1057 -> 1055,55,8.0
534 -> 136,55,42.18
893 -> 943,55,4.0
1050 -> 1439,55,34.59
1007 -> 792,55,36.23
977 -> 718,55,19.91
784 -> 988,55,16.0
236 -> 575,55,15.48
792 -> 1007,55,40.64
136 -> 88,55,6.82
845 -> 683,55,16.0
465 -> 466,55,4.0
466 -> 466,55,0.0
1172 -> 195,55,31.45
733 -> 786,55,4.0
981 -> 466,55,33.33
69 -> 105,55,8.0
143 -> 252,55,29.82
745 -> 748,55,12.0
941 -> 187,50,25.0
1052 -> 954,50,8.0
632 -> 1019,50,42.8
954 -> 851,50,8.0
975 -> 512,50,36.2
769 -> 1348,50,52.45
988 -> 784,50,16.0
1381 -> 1381,50,0.0
737 -> 1128,50,23.22
385 -> 769,50,19.3
935 -> 885,50,4.0
885 -> 935,50,4.0
239 -> 348,50,8.0
718 -> 466,50,51.79
88 -> 136,50,7.6
1007 -> 465,50,31.6
736 -> 612,45,26.61
632 -> 519,45,16.0
249 -> 301,45,7.78
632 -> 945,45,23.5
173 -> 274,45,12.0
851 -> 1052,45,16.0
301 -> 249,45,6.72
689 -> 689,40,0.0
576 -> 576,25,0.0
1346 -> 1346,15,0.0
625 -> 625,10,0.0
