departure_hour,start_hex_id,end_hex_id,demands
16,WestBound,180,138.0764568
16,WestBound,187,176.3439449
16,WestBound,195,87.65748747
16,WestBound,211,81.04961792
16,WestBound,244,166.3941261
17,0,10,110.8615162
17,9,9,66.52836802
17,12,11,143.5994839
17,17,24,93.14554673
17,18,EastBound,125.7251435
17,24,5,93.14554673
17,24,17,93.14554673
17,30,WestBound,99.89445438
17,44,EastBound,297.2373896
17,62,EastBound,136.7923758
17,69,EastBound,59.51298192
17,78,EastBound,225.1196486
17,79,WestBound,249.700943
17,89,EastBound,261.2256525
17,93,199,223.3876026
17,94,179,190.862562
17,98,EastBound,176.0286813
17,117,143,84.40266545
17,120,WestBound,82.11954429
17,121,EastBound,121.298242
17,134,227,131.64441
17,151,EastBound,177.015425
17,154,EastBound,106.1211251
17,155,155,446.2791411
17,156,174,172.0081465
17,156,EastBound,68.30785899
17,158,EastBound,129.8867991
17,164,EastBound,73.04010735
17,164,WestBound,206.2407982
17,167,167,70.3568606
17,168,225,244.687541
17,168,EastBound,88.89208829
17,168,WestBound,100.4147001
17,171,EastBound,164.1272166
17,174,156,172.0081465
17,175,192,69.77745821
17,176,176,100.8183489
17,178,WestBound,117.0765987
17,179,177,190.862562
17,183,233,108.5521109
17,199,200,169.991918
17,200,245,103.1313351
17,204,151,68.99500902
17,206,206,70.35576293
17,211,211,81.04961792
17,226,213,181.4449156
17,227,134,131.64441
17,239,246,147.1897048
17,244,WestBound,166.3941261
17,246,203,147.1897048
17,248,EastBound,218.0791225
17,253,226,108.6582045
17,EastBound,110,153.4539978
17,EastBound,117,84.40266545
17,EastBound,132,54.12867369
17,EastBound,141,183.9397315
17,EastBound,150,104.2362348
17,EastBound,158,202.4266496
17,EastBound,164,153.4103047
17,EastBound,167,89.29079282
17,EastBound,184,205.6839975
17,EastBound,196,95.2289583
17,EastBound,200,103.1313351
17,EastBound,215,248.0496943
17,EastBound,216,123.4721378
17,EastBound,231,451.7296124
17,EastBound,234,113.1929336
17,EastBound,237,170.20311
17,EastBound,240,289.2951338
17,WestBound,12,97.41986814
17,WestBound,46,56.51164838
17,WestBound,117,98.77350809
17,WestBound,225,239.2663145
17,WestBound,231,105.9612257
18,5,24,93.14554673
18,11,WestBound,143.5994839
18,16,EastBound,33.06131924
18,29,WestBound,101.7486404
18,30,WestBound,106.6073125
18,61,EastBound,196.8494022
18,75,75,203.1596741
18,104,WestBound,109.9601357
18,113,EastBound,380.2195906
18,115,161,92.87444943
18,115,263,74.92142186
18,119,EastBound,98.93688966
18,141,172,106.4326418
18,141,WestBound,183.9397315
18,159,118,147.5276784
18,161,EastBound,92.87444943
18,163,179,195.7531934
18,164,EastBound,56.72808162
18,167,EastBound,82.42644207
18,172,214,60.74495511
18,173,184,65.64281042
18,178,EastBound,99.52156578
18,179,163,195.7531934
18,183,EastBound,162.8693922
18,184,173,65.64281042
18,191,EastBound,141.4664895
18,196,EastBound,95.2289583
18,202,EastBound,220.0451174
18,203,239,147.1897048
18,203,WestBound,158.9612347
18,211,211,220.4021762
18,213,214,133.8187463
18,213,226,181.4449156
18,214,WestBound,129.1593269
18,226,245,154.4429002
18,226,253,108.6582045
18,231,231,601.9268688
18,233,WestBound,101.8176102
18,235,235,203.6042306
18,240,EastBound,90.31401435
18,EastBound,1,71.61333533
18,EastBound,47,122.5990131
18,EastBound,115,72.8559299
18,EastBound,118,160.4098351
18,EastBound,132,194.7949481
18,EastBound,156,231.7414889
18,EastBound,168,106.9430002
18,EastBound,175,60.38327956
18,EastBound,185,136.0984591
18,EastBound,192,142.1075316
18,EastBound,199,404.9700303
18,EastBound,205,79.58824514
18,EastBound,235,203.6042306
18,WestBound,0,244.5392424
18,WestBound,18,222.9953573
18,WestBound,115,86.66163104
18,WestBound,196,84.09162101
18,WestBound,224,145.0353672
18,WestBound,226,235.9401764
18,WestBound,244,166.3941261
19,18,WestBound,222.9953573
19,21,EastBound,155.6388118
19,24,21,87.16278071
19,32,EastBound,206.1217102
19,55,EastBound,105.7450267
19,62,EastBound,136.7923758
19,65,EastBound,218.001462
19,70,28,235.9401764
19,71,WestBound,121.8951298
19,86,37,118.8850024
19,94,EastBound,105.6987314
19,111,154,138.1629853
19,119,119,77.97880587
19,152,150,98.64452451
19,158,WestBound,165.0000673
19,179,WestBound,210.3634621
19,184,173,65.64281042
19,213,EastBound,147.1897048
19,233,183,108.5521109
19,234,EastBound,113.1929336
19,239,213,147.1897048
19,255,EastBound,65.68527599
19,EastBound,18,125.7251435
19,EastBound,62,136.7923758
19,EastBound,111,97.36995912
19,EastBound,120,104.8300818
19,EastBound,196,95.2289583
19,EastBound,199,89.62841559
19,EastBound,222,118.6695372
19,WestBound,179,210.3634621
19,WestBound,196,85.31828382
20,0,WestBound,139.73671
20,28,180,134.8229579
20,48,WestBound,85.01788914
20,110,EastBound,87.68799876
20,121,EastBound,169.343815
20,145,WestBound,69.03984264
20,161,115,53.07111396
20,173,184,37.51017738
20,192,EastBound,65.42163198
20,199,EastBound,49.8311859
20,214,172,34.71140292
20,214,216,76.467855
20,231,231,127.6234371
20,239,EastBound,84.10840272
20,263,115,42.81224106
20,EastBound,161,53.07111396
20,EastBound,172,41.17535616
20,EastBound,177,43.21545222
20,EastBound,180,94.28575272
20,EastBound,183,93.06822414
20,EastBound,200,135.1307852
20,EastBound,234,64.68167634
20,EastBound,239,84.10840272
20,EastBound,240,151.1716813
20,WestBound,145,69.03984264
20,WestBound,153,114.2966175
20,WestBound,159,79.45628208
21,21,EastBound,49.80730326
21,89,EastBound,53.4769542
21,148,EastBound,115.2645377
21,155,EastBound,97.0098006
21,167,167,40.20392034
21,168,EastBound,61.11028584
21,189,205,75.51687156
21,196,145,54.4165476
21,200,EastBound,135.1307852
21,205,189,75.51687156
21,211,211,46.31406738
21,216,214,76.467855
21,239,239,84.10840272
21,245,WestBound,58.93219146
21,EastBound,18,40.59819504
21,EastBound,44,169.8499369
21,EastBound,62,78.16707186
21,EastBound,148,115.2645377
21,EastBound,167,47.10082404
21,EastBound,215,71.36147946
21,WestBound,227,60.66859266
22,37,86,67.93428708
22,83,WestBound,78.51737628
22,118,159,84.30153054
22,154,111,78.9502773
22,167,EastBound,51.02331018
22,180,180,94.28575272
